"","P","M","Replicate","m_meanleng","m_sdleng","p_meanleng","p_sdleng","Exposure date","Mortality date","Spore count date","Pasteuria spore count 1","Pasteuria spore count 2","Pasteuria spore count 3","Avg Pasteuria spore load at death (spores/mL)","Metschnikowia spore count 1","Metschnikowia spore count 2","Metschnikowia spore count 3","Avg Metsch spore load at death (spores/mL)","Comments","lifespan.day"
"107",2000,0,"A",0,0,4.96974493624667,0.379550028073683,2018-01-23 05:00:00,2018-02-14 05:00:00,2018-11-15 05:00:00,197,"194","230",2070000,0,"0","0",0,"0",28
"108",2000,0,"B",0,0,5.73790659076443,0.263671851723851,2018-01-23 05:00:00,2018-02-14 05:00:00,2018-11-16 05:00:00,229,"204","188",2070000,0,"0","0",0,"0",28
"109",2000,0,"F",0,0,5.36233146774663,0.358852456064408,2018-01-23 05:00:00,2018-02-23 05:00:00,2018-12-06 05:00:00,290,"300","289",2930000,0,"0","0",0,"0",36.4375
"110",2000,1000,"A",52.76199189672,3.50729425908277,0,0,2018-01-23 05:00:00,2018-02-02 05:00:00,2018-03-22 00:00:00,0,"0","0",0,39,"35","40",380000,"0",16
"111",2000,1000,"B",58.017945564355,2.9507786229972,0,0,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-04-27 00:00:00,0,"0","0",0,101,"106","110",1056666.66666667,"0",22
"112",2000,1000,"C",56.1140866843812,3.17694423240844,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-11-09 05:00:00,0,"0","0",0,70,"84","102",853333.333333333,"0",23
"113",2000,1000,"D",53.6100519609262,3.77461529316675,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-12-17 05:00:00,0,"0","0",0,114,"124","114",1173333.33333333,"0",23
"114",2000,1000,"H",58.5431135573392,4.44551513131819,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-11-09 05:00:00,0,"0","0",0,91,"88","92",903333.333333333,"0",24
"115",2000,1000,"I",56.9093469526978,3.76308052671017,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-12-17 05:00:00,0,"0","0",0,106,"123","109",1126666.66666667,"0",24
"116",2000,1000,"J",58.1629067126345,3.31342700501855,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-12-17 05:00:00,0,"0","0",0,144,"132","136",1373333.33333333,"0",24
"117",2000,2000,"B",56.3610971814897,6.40518285319069,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-04-04 00:00:00,0,"0","0",0,68,"60","62",633333.333333333,"0",19
"118",2000,2000,"C",49.9315042284233,3.24202006916246,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-04-10 00:00:00,0,"0","0",0,46,"63","60",563333.333333333,"all counts from 4/10/18 used 7.97 uL sample volume instead of the usual 10 uL",19
