Pasteuria dose (spores/mL),Metschnikowia dose (spores/mL),Replicate,Exposure date,Mortality date,Spore count date,Pasteuria spore count 1,Pasteuria spore count 2,Pasteuria spore count 3,Avg Pasteuria spore load at death (spores/mL),Metschnikowia spore count 1,Metschnikowia spore count 2,Metschnikowia spore count 3,Avg Metsch spore load at death (spores/mL),Condition of cadaver (1-3) ,Comments,Column1
200,2000,J,1/23/2018,3/1/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
1000,0,A,1/23/2018,3/6/2018,11/30/2018,6,12,16,113333,0,0,0,0,,,
1000,0,B,1/23/2018,3/1/2018,12/6/2018,10,12,10,106667,0,0,0,0,,,
1000,0,C,1/23/2018,2/19/2018,12/6/2018,405,322,401,3760000,0,0,0,0,,,
1000,0,D,1/23/2018,3/4/2018,12/13/2018,1,0,0,3333,0,0,0,0,,,
1000,0,E,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,0,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,0,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,0,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,0,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,0,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,5,A,1/23/2018,2/9/2018,5/4/2018,0,0,0,0,126,109,108,1143333,,,
1000,5,B,1/23/2018,2/9/2018,11/26/2018,13,17,11,136667,107,106,100,1043333,,,
1000,5,C,1/23/2018,2/16/2018,12/13/2018,64,60,47,570000,0,0,0,0,,,
1000,5,D,1/23/2018,3/7/2018,11/30/2018,2,2,0,13333,0,0,0,0,,,
1000,5,E,1/23/2018,2/25/2018,12/18/2019,0,0,0,0,0,0,0,0,,,
1000,5,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,5,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,5,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,5,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,5,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,50,A,1/23/2018,2/6/2018,4/11/2018,0,0,0,0,0,1,0,3333,,,
1000,50,B,1/23/2018,2/9/2018,11/29/2018,0,0,0,0,112,104,98,1046667,,,
1000,50,C,1/23/2018,2/10/2018,1/3/2019,0,0,0,0,77,76,100,843333,,,
1000,50,D,1/23/2018,2/12/2018,1/17/2019,0,0,0,0,88,93,105,953333,,,
1000,50,E,1/23/2018,2/27/2018,12/3/2018,0,0,0,0,0,0,0,0,,,
1000,50,F,1/23/2018,3/21/2018,12/21/2018,90,96,102,960000,0,0,0,0,,,
1000,50,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,50,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,50,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,50,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,250,A,1/23/2018,1/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,250,B,1/23/2018,2/6/2018,4/11/2018,0,0,0,0,50,62,62,580000,,,
1000,250,C,1/23/2018,2/6/2018,4/11/2018,0,0,0,0,0,3,1,13333,,,
1000,250,D,1/23/2018,2/9/2018,1/12/2019,0,0,0,0,62,55,65,606667,,,
1000,250,E,1/23/2018,2/10/2018,4/27/2018,10,8,7,83333,109,73,98,933333,,,
1000,250,F,1/23/2018,2/10/2018,4/27/2018,5,3,7,50000,92,104,133,1096667,,,
1000,250,G,1/23/2018,2/27/2018,12/21/2018,27,39,89,516667,0,0,0,0,,,
1000,250,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,250,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,250,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,500,A,1/23/2018,2/5/2018,4/4/2018,0,0,0,0,67,72,98,790000,,,
1000,500,B,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,68,69,NA,685000,,,
1000,500,C,1/23/2018,2/8/2018,4/27/2018,0,0,0,0,46,49,61,520000,,,
1000,500,D,1/23/2018,2/9/2018,11/29/2018,0,0,0,0,69,72,56,656667,,,
1000,500,E,1/23/2018,2/9/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
1000,500,F,1/23/2018,2/12/2018,11/16/2018,0,0,0,0,2,1,9,40000,,,
1000,500,G,1/23/2018,2/25/2018,12/4/2018,0,0,0,0,0,0,0,0,,,
1000,500,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,500,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,500,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,1000,A,1/23/2018,2/6/2018,4/12/2018,0,0,0,0,63,61,68,640000,,,
1000,1000,B,1/23/2018,2/9/2018,12/17/2018,0,0,0,0,84,74,140,993333,,,
1000,1000,C,1/23/2018,2/9/2018,1/3/2019,0,1,1,6667,66,67,82,716667,,,
1000,1000,D,1/23/2018,2/9/2018,1/17/2019,0,0,0,0,83,70,77,766667,,,
1000,1000,E,1/23/2018,2/9/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
1000,1000,F,1/23/2018,2/10/2018,7/25/2018,0,0,0,0,115,119,114,1160000,,,
1000,1000,G,1/23/2018,2/16/2018,11/27/2018,333,368,305,3353333,0,0,0,0,,,
1000,1000,H,1/23/2018,2/9/2018,12/18/2018,0,0,0,0,127,85,na,1060000,,,
1000,1000,I,1/23/2018,2/25/2018,1/1/2019,73,81,NA,770000,0,0,,0,,,
1000,1000,J,1/23/2018,missing,,,,,,,,,,,,
1000,2000,A,1/23/2018,2/2/2018,3/28/2018,0,0,0,0,33,44,28,350000,,,
1000,2000,B,1/23/2018,2/5/2018,4/4/2018,0,0,0,0,44,50,50,480000,,,
1000,2000,C,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,86,101,89,920000,,,
1000,2000,D,1/23/2018,2/10/2018,7/27/2018,0,0,0,0,81,96,81,860000,,,
1000,2000,E,1/23/2018,2/10/2018,11/29/2018,0,0,0,0,72,65,65,673333,,,
1000,2000,F,1/23/2018,2/10/2018,11/29/2018,0,0,0,0,111,115,104,1100000,,,
1000,2000,G,1/23/2018,2/20/2018,12/13/2018,17,23,17,190000,0,0,0,0,,,
1000,2000,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,2000,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1000,2000,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
2000,0,A,1/23/2018,2/14/2018,11/15/2018,197,194,230,2070000,0,0,0,0,,,
2000,0,B,1/23/2018,2/14/2018,11/16/2018,229,204,188,2070000,0,0,0,0,,,
2000,0,C,1/23/2018,2/16/2018,11/15/2018,0,0,0,0,0,0,0,0,,,
